Country;Percentile;fshare_2010;fshare_2011;fshare_2012;fshare_2013;fshare_2014;fshare_2015;fshare_2016;fshare_2017;fshare_2018;fshare_2019;fshare_2020;fshare_2021;top1_2010;top1_2011;top1_2012;top1_2013;top1_2014;top1_2015;top1_2016;top1_2017;top1_2018;top1_2019;top1_2020;top1_2021;inc_head_2010;inc_head_2011;inc_head_2012;inc_head_2013;inc_head_2014;inc_head_2015;inc_head_2016;inc_head_2017;inc_head_2018;inc_head_2019;inc_head_2020;inc_head_2021
 Afghanistan;p0p100;0.0;0.0;0.0;0.0;0.0057;0.0138;0.0234;0.0337;0.0376;0.0419;;;;;;;;;;;;;;;;;;;;;;;;;;
 Afghanistan;p99p100;;;;;;;;;;;;;0.1539;0.1457;0.1406;0.1433;0.145;0.1456;0.1488;0.1525;0.1525;0.1525;0.1525;0.1525;;;;;;;;;;;;
 Afghanistan;pall;;;;;;;;;;;;;;;;;;;;;;;;;3389.5912;3245.994;3530.4132;3567.9823;3482.4322;3405.4003;3345.2192;3316.3941;3225.1774;3237.301;3037.9512;3052.391
 Africa;p0p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Africa;p99p100;;;;;;;;;;;;;0.2027;0.2031;0.2049;0.2047;0.2029;0.2034;0.202;0.2002;0.1994;0.1978;0.2013;0.204;;;;;;;;;;;;
 Africa;pall;;;;;;;;;;;;;;;;;;;;;;;;;6846.3;6774.4;6914.0;6951.5;7034.4;7070.9;7016.7;6996.6;7005.6;6986.2;6655.5;6793.1
 Africa (at market exchange rate);p0p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Africa (at market exchange rate);p99p100;;;;;;;;;;;;;0.3524;0.369;0.3918;0.3866;0.3843;0.3817;0.38;0.3855;0.3996;0.3887;0.3869;0.387;;;;;;;;;;;;
 Africa (at market exchange rate);pall;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Alabama;p0p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Alabama;p99p100;;;;;;;;;;;;;0.1696;0.1627;0.1739;0.1473;0.1588;0.1638;0.1706;0.1709;0.1703;;;;;;;;;;;;;;;
 Alabama;pall;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Alaska;p0p100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Alaska;p99p100;;;;;;;;;;;;;0.1165;0.1098;0.1235;0.1094;0.1139;0.1163;0.1102;0.108;0.1108;;;;;;;;;;;;;;;
