sexe;preusuel;annais;nombre
1;_PRENOMS_RARES;1900;1249
1;_PRENOMS_RARES;1901;1342
1;_PRENOMS_RARES;1902;1330
1;_PRENOMS_RARES;1903;1286
1;_PRENOMS_RARES;1904;1430
1;_PRENOMS_RARES;1905;1472
1;_PRENOMS_RARES;1906;1451
1;_PRENOMS_RARES;1907;1514
1;_PRENOMS_RARES;1908;1509
1;_PRENOMS_RARES;1909;1526
1;_PRENOMS_RARES;1910;1667
1;_PRENOMS_RARES;1911;1572
1;_PRENOMS_RARES;1912;1608
1;_PRENOMS_RARES;1913;1605
1;_PRENOMS_RARES;1914;1597
1;_PRENOMS_RARES;1915;1208
1;_PRENOMS_RARES;1916;1025
1;_PRENOMS_RARES;1917;1148
1;_PRENOMS_RARES;1918;1157
1;_PRENOMS_RARES;1919;1030
1;_PRENOMS_RARES;1920;1535
1;_PRENOMS_RARES;1921;1617
1;_PRENOMS_RARES;1922;1574
1;_PRENOMS_RARES;1923;1931
1;_PRENOMS_RARES;1924;2475
1;_PRENOMS_RARES;1925;2845
1;_PRENOMS_RARES;1926;2920
1;_PRENOMS_RARES;1927;2711
1;_PRENOMS_RARES;1928;2505
1;_PRENOMS_RARES;1929;2445
1;_PRENOMS_RARES;1930;2639
1;_PRENOMS_RARES;1931;2724
1;_PRENOMS_RARES;1932;2455
1;_PRENOMS_RARES;1933;2168
1;_PRENOMS_RARES;1934;2161
1;_PRENOMS_RARES;1935;1784
1;_PRENOMS_RARES;1936;1666
1;_PRENOMS_RARES;1937;1722
1;_PRENOMS_RARES;1938;1766
1;_PRENOMS_RARES;1939;1721
1;_PRENOMS_RARES;1940;1588
1;_PRENOMS_RARES;1941;1374
1;_PRENOMS_RARES;1942;1497
1;_PRENOMS_RARES;1943;1686
1;_PRENOMS_RARES;1944;1864
1;_PRENOMS_RARES;1945;1790
1;_PRENOMS_RARES;1946;1741
1;_PRENOMS_RARES;1947;1758
1;_PRENOMS_RARES;1948;1716
1;_PRENOMS_RARES;1949;1910
1;_PRENOMS_RARES;1950;1967
1;_PRENOMS_RARES;1951;1902
1;_PRENOMS_RARES;1952;1945
1;_PRENOMS_RARES;1953;2022
1;_PRENOMS_RARES;1954;2074
1;_PRENOMS_RARES;1955;2038
1;_PRENOMS_RARES;1956;2201
1;_PRENOMS_RARES;1957;2363
1;_PRENOMS_RARES;1958;2439
1;_PRENOMS_RARES;1959;2643
1;_PRENOMS_RARES;1960;2757
1;_PRENOMS_RARES;1961;2845
1;_PRENOMS_RARES;1962;3041
1;_PRENOMS_RARES;1963;3076
1;_PRENOMS_RARES;1964;3104
1;_PRENOMS_RARES;1965;3416
1;_PRENOMS_RARES;1966;3241
1;_PRENOMS_RARES;1967;3475
1;_PRENOMS_RARES;1968;3419
1;_PRENOMS_RARES;1969;3632
1;_PRENOMS_RARES;1970;3939
1;_PRENOMS_RARES;1971;4451
1;_PRENOMS_RARES;1972;4769
1;_PRENOMS_RARES;1973;5052
1;_PRENOMS_RARES;1974;5263
1;_PRENOMS_RARES;1975;5191
1;_PRENOMS_RARES;1976;5415
1;_PRENOMS_RARES;1977;5733
1;_PRENOMS_RARES;1978;5704
1;_PRENOMS_RARES;1979;6039
1;_PRENOMS_RARES;1980;6607
1;_PRENOMS_RARES;1981;6957
1;_PRENOMS_RARES;1982;7511
1;_PRENOMS_RARES;1983;7522
1;_PRENOMS_RARES;1984;7596
1;_PRENOMS_RARES;1985;7842
1;_PRENOMS_RARES;1986;7828
1;_PRENOMS_RARES;1987;7772
1;_PRENOMS_RARES;1988;8010
1;_PRENOMS_RARES;1989;8267
1;_PRENOMS_RARES;1990;8483
1;_PRENOMS_RARES;1991;8613
1;_PRENOMS_RARES;1992;9074
1;_PRENOMS_RARES;1993;9447
1;_PRENOMS_RARES;1994;9698
1;_PRENOMS_RARES;1995;9771
1;_PRENOMS_RARES;1996;10202
1;_PRENOMS_RARES;1997;10409
1;_PRENOMS_RARES;1998;11015
1;_PRENOMS_RARES;1999;11635
1;_PRENOMS_RARES;2000;12583
1;_PRENOMS_RARES;2001;13285
1;_PRENOMS_RARES;2002;14409
1;_PRENOMS_RARES;2003;15247
1;_PRENOMS_RARES;2004;16378
1;_PRENOMS_RARES;2005;17270
1;_PRENOMS_RARES;2006;18219
1;_PRENOMS_RARES;2007;18610
1;_PRENOMS_RARES;2008;19033
1;_PRENOMS_RARES;2009;19777
1;_PRENOMS_RARES;2010;21219
1;_PRENOMS_RARES;2011;21764
1;_PRENOMS_RARES;2012;24352
1;_PRENOMS_RARES;2013;24296
1;_PRENOMS_RARES;2014;24812
1;_PRENOMS_RARES;2015;24925
1;_PRENOMS_RARES;2016;25371
1;_PRENOMS_RARES;2017;25742
1;_PRENOMS_RARES;2018;25999
1;_PRENOMS_RARES;2019;26960
1;_PRENOMS_RARES;2020;27083
1;_PRENOMS_RARES;2021;27222
1;A;1980;3
1;A;1998;3
1;A;XXXX;21
1;AADAM;2009;4
1;AADAM;2014;3
1;AADAM;2015;3
1;AADAM;2016;4
1;AADAM;2017;4
1;AADAM;2018;3
1;AADAM;2020;3
1;AADAM;XXXX;8
1;AADEL;1976;5
1;AADEL;1978;3
1;AADEL;1980;3
1;AADEL;1981;5
1;AADEL;1982;4
1;AADEL;1983;3
1;AADEL;1987;5
1;AADEL;XXXX;29
1;AADIL;1974;4
1;AADIL;1976;6
1;AADIL;1977;6
1;AADIL;1978;6
1;AADIL;1979;9
1;AADIL;1980;9
1;AADIL;1981;9
1;AADIL;1982;11
1;AADIL;1983;12
1;AADIL;1984;9
1;AADIL;1985;8
1;AADIL;1986;3
1;AADIL;1987;8
1;AADIL;1988;3
1;AADIL;1989;7
1;AADIL;1990;4
1;AADIL;1992;5
1;AADIL;1993;4
1;AADIL;1994;3
1;AADIL;1995;3
1;AADIL;2003;3
1;AADIL;2015;8
1;AADIL;2016;5
1;AADIL;2017;4
1;AADIL;2018;4
1;AADIL;XXXX;37
1;AAHIL;2014;5
1;AAHIL;2015;4
1;AAHIL;2016;6
1;AAHIL;2020;5
1;AAHIL;XXXX;8
1;AAKASH;2001;3
1;AAKASH;2011;3
1;AAKASH;XXXX;22
1;AAMIR;XXXX;20
1;AARAV;2011;3
1;AARAV;2016;3
1;AARAV;2018;5
1;AARAV;2019;3
1;AARAV;2020;4
1;AARAV;XXXX;6
1;AARISH;2019;6
1;AARISH;2020;3
1;AARISH;2021;3
1;AARISH;XXXX;8
1;AARON;1907;3
1;AARON;1911;3
1;AARON;1931;3
1;AARON;1935;3
1;AARON;1949;3
1;AARON;1960;3
1;AARON;1962;3
